Title,Acronym,CORE,ERA Score,h5_index
Medical Image Computing and Computer-Assisted Intervention,MICCAI,A,,96.0
Mensch & Computer,MuC,National: Germany,,22.0
Mobile and Ubiquitous Multimedia (ACM),MUM,B,,
Modelling and Optimization: Theory and Applications,MOPTA,National: USA,,
Multimedia and Network Information Systems,MISSI,National: Poland,,6.0
National Conference of the American Association for Artificial Intelligence,AAAI,A*,,220.0
National Conference of The Australian Society for Operations Research,ASOR,Australasian C,,
Network and Operating System Support for Digital Audio and Video,NOSSDAV,B,,
New Security Paradigms Workshop,NSPW,C,,
New Zealand Game Developers Conference,NZGDC,Australasian C,,
Nordic Conference on Human-Computer Interaction,NordiCHI,Regional:Scandinavia,,24.0
North American Association for Computational Linguistics,NAACL,A,,132.0
"Pacific Asia Conference on Language, Information and Computation",PACLIC,C,,13.0
Pacific Conference on Computer Graphics and Applications,PG,Journal Published,,
Pacific Rim International Conference on Artificial Intelligence,PRICAI,B,,20.0
Pacific Rim International Symposium on Dependable Computing,PRDC,C,,13.0
Pacific Rim Knowledge Acquisition Workshop,PKAW,C,,
Pacific Symposium on Biocomputing,PSB,National: USA,,23.0
Pacific-Asia Conference on Knowledge Discovery and Data Mining,PAKDD,B,,30.0
Pacific-Rim Symposium on Image and Video Technology,PSIVT,C,,
Parallel Problem Solving from Nature,PPSN,A,,19.0
Passive and Active Measurement Conference,PAM,B,,20.0
Pattern Languages of Programs,PLOP,C,,13.0
Portuguese Conference on Artificial Intelligence,EPIA,National: Portugal,,16.0
Practical Applications of Agents and Multiagent Systems,PAAMS,National: Spain,,13.0
Practical Aspects of Declarative Languages,PADL,C,,
Practice and Theory of Automated Timetabling,PATAT,C,,
Prague Stringology Conference,PSC,National: Czech,,15.0
Principles and Practice of Parallel Programming,PPoPP,B,,
Privacy Enhancing Technologies Symposium (was International Workshop of Privacy Enhancing Technologies),PETS,A,,
Privacy in Statistical Databases,PSD,C,,
Product Focused Software Process Improvement,PROFES,B,,18.0
Real Time Systems Symposium,RTSS,A*,,20.0
Richard Tapia Celebration of Diversity in Computing Conference,Tapia,National: USA,,
Robot Soccer World Cup,RoboCup,C,,14.0
Robotics: Science and Systems,RSS,TBR,,66.0
Selected Areas in Cryptography,SAC,B,,21.0
Semantics - International Conference on Semantic Systems,Semantics,"Regional: Austria, Germany, Netherlands",,28.0
SGAI International Conference on Artificial Intelligence,SGAI,National: UK,,
SIAM Conference on Discrete Mathematics,DM,C,,
SIAM Conference on Optimization,OP,C,,5.0
SIAM International Conference on Data Mining,SDM,A,,36.0
SIGGRAPH Asia,SiggraphA,journal published,,25.0
Simulation and Synthesis in Medical Imaging,SASHIMI,C,,
Simulation Technology and Training Conference,SimTecT,Australasian C,,
SKLOIS Conference on Information Security and Cryptology,Inscrypt,National: China,,8.0
Smart Card Research and Advanced Application Conference,CARDIS,C,,
Software Process Improvement and Capability Determination,SPICE,C,,
Software Product Lines Conference,SPLC,B,,25.0
"Software Quality, Reliability, and Security (was International Conference on Quality Software, QSIC, that merged with SERE 2015)",QRS,C,,
Static Analysis Symposium,SAS,B,,14.0
Structural and Syntactical Pattern Recognition,SSPR,B,,
Symposium Model Analysis and Simulation of Computer and Telecommunications Systems,MASCOTS,B,,16.0
Symposium of Asian Association for Algorithms and Computation,AAAC,C,,
Symposium on Advances in DB and Information Systems,ADBIS,C,,16.0
Symposium on Geometry Processing,SGP,B,,
Symposium on High Performance Chips,HOTCHIPS (HCS),C,,
"Symposium on Networked Systems, Design and Implementation",NSDI,National: USA,,62.0
Symposium on Parallelism in Algorithms and Architectures,SPAA,B,,22.0
Symposium on Reliable Distributed Systems,SRDS,B,,18.0
"Symposium on Stabilization, Safety, and Security of Distributed Systems",SSS,C,,
Symposium On Usable Privacy and Security,SOUPS,B,,38.0
"Tangible, Embedded, and Embodied Interaction",TEI,B,,27.0
Testbeds and Research Infrastructures for the Development of Networks and Communities,TridentCom,National: China,,
The ACM International System and Storage Conference,SYSTOR,National:Israel,,
The International Conference on Future Networks and Communications,FNC,Unranked,,
The International Conference on Intelligent Environments,IE,B,,22.0
The International Conference on Verification and Evaluation of Computer and Communication Systems,VECoS,C,,
"The International Symposium on Research in Attacks, Intrusions and Defenses (was International Symposium on Recent Advances in Intrusion Detection)",RAID,A,,
The Symposium of Combinatorial Search,SoCS,B,,
The Theory and Application of Diagrams,DIAGRAMS,C,,
Theoretical Aspects of Rationality and Knowledge,TARK,A,,
Theory of Cryptography Conference,TCC,A,,1.0
Tools and Algorithms for Construction and Analysis of Systems,TACAS,A,,35.0
Usable Security and Privacy,USEC,National: USA,,38.0
Usenix Annual Technical Conference,USENIX,A,,55.0
Usenix Network and Distributed System Security Symposium,NDSS,A*,,73.0
Usenix Security Symposium,USENIX-Security,A*,,106.0
Usenix Symposium on Operating Systems Design and Implementation,OSDI,A*,,54.0
USENIX Workshop on Hot Topics in Operating Systems,HotOS,A,,
Utility and Cloud Computing,UCC,Unranked,,23.0
"Verification, Model Checking and Abstract Interpretation",VMCAI,B,,13.0
Visual Analytics,EuroVA,C,,
Visual Information Communication and Interaction,VINCI,C,,14.0
Visualization In Science and Education,GRC,National: USA,,
Web and Big Data,APWEB,C,,20.0
Winter Simulation Conference,WSC,C,,
Workshop in Information Security Theory and Practices,WISTP,C,,
Workshop on Algorithm Engineering and Experiments,ALENEX,A,,
"Workshop on Algorithmic Approaches for Transportation Modelling, Optimization, and Systems",ATMOS,C,,
Workshop on Algorithms And Models For The Web Graph,WAW,C,,
Workshop on Algorithms in Bioinformatics,WABI,C,,
Workshop on Applications of Graph Theory in Wireless Ad hoc Networks and Sensor Networks,Graph-hoc,C,,
Workshop on Approximation and Online Algorithms,WAOA,B,,
Workshop on Computational Optimization,WCO,C,,
Workshop on Computer Architecture Education,WCAE,National: USA,,
Workshop on Constraint Satisfaction for Planning and Scheduling,COPLAS,C,,
Workshop on Cryptographic Hardware and Embedded Systems,CHES,A,,
Workshop on Domain Specific Modelling,DSM,C,,
Workshop on Fault Diagnosis and Tolerance in Cryptography,FDTC,C,,
Workshop on Formal Techniques for Java-like Programs,FTfJP,C,,
Workshop on Job Scheduling Strategies for Parallel Processing,JSSPP,C,,
"Workshop on Logic, Language, Information and Computation",WoLLIC,C,,12.0
Workshop on Mobile Computing Systems and Applications,HOTMOBILE,National: USA,,21.0
Workshop on Programming Languages and Operating Systems,PLOS,C,,225.0
Workshop on the Arithmetic of Finite Fields,WAIFI,C,,
"World Conference on Educational Multimedia, Hypermedia and Telecommunications",ED-MEDIA,C,,
World Conference on Information Systems and Technologies,WorldCIST,C,,25.0
"World Congress in Computer Science, Computer Engineering, and Applied Computing",WORLDCOMP,National: USA,,
"World Multi-Conference on Systemics, Cybernetics and Informatics",WMSCI,National: USA,,
