conference,h5_index,core_rank,era_rank,qualis_rank,deadline,notification,start,end,location,name,topics
IPSN,27.0,A*,A,A1,22-Oct,,,,,International Conference on Information Processing in Sensor Networks,"Systems, Architectures, and Tools 
 Sensor data storage, retrieval, processing 
 Network and system architectures and protocols 
 IoT gateway platform architecture and services 
 Programming models, languages, and systems 
 Programming models for IoT ensembles 
 Modeling, simulation, and measurement tools 
 Operating systems and runtime environments 
 Discovery, coordination, and use of IoT services 
 IoT reliability, adaptability, and dependability 
 Technical assessment of emerging IoT standards 
 Algorithms, Data, and Theory 
 Localization, synchronization, RFID, and RF sensing 
 Data related issues, such as methods, tools, and analysis 
 Coding, compression, and information theory 
 Theoretical foundations and fundamental bounds 
 Applications 
 Applications in health, wellness & sustainability 
 Applications in smart cities and urban health 
 Experiences, challenges, comparisons of platforms 
 Sensor-enabled drone / autonomous vehicle platforms and algorithms 
 Outdoor, wide-area, or crowdsourced sensing systems 
 Wearable systems and data processing algorithms 
 Security and Privacy 
 Security and privacy 
 Fairness, equity, and transparency issues in IoT and CPS 
 Machine Learning 
 Machine learning and deep learning on sensor data 
 New hardware and system design to enable machine learning on sensor data 
 Computer vision for resource-constrained and mobile platforms 
 Novel embedded machine learning algorithms"
HSCC,27.0,,,,26-Oct,,,,,ACM International Conference on Hybrid Systems: Computation and Control,"Mathematical foundations, computability and complexity 
 Analysis, verification, validation, and testing 
 Modeling paradigms and techniques 
 Design, synthesis, planning, and control 
 Programming and specification languages 
 Network science and network-based control 
 Security, privacy, and resilience for cyber-physical systems with focus on computation and control 
 Safe autonomy, Artificial intelligence and Machine learning in CPS 
 Software tools for the above topics 
 Applications and industrial case studies in: automotive, transportation, autonomous systems, avionics, energy and power, robotics, medical devices, manufacturing, systems and synthetic biology, models for the life sciences, and other related areas."
RTAS,25.0,A,A,A2,29-Oct,,,,,IEEE Real-Time and Embedded Technology and Applications Symposium,"real-time and embedded operating systems, hypervisors, runtime frameworks 
 hardware architectures, memory hierarchies, FPGAs, GPUs and accelerators 
 time-sensitive networks, CPS/IoT infrastructure 
 WCET analysis, compilers, tools, benchmarks and case-studies. 
 scheduling and resource allocation 
 specification languages and tools 
 system-level optimization and co-design techniques 
 design space exploration 
 verification and validation methodologies."
ICCPS,27.0,,,,22-Oct,,,,,ACM/IEEE International Conference on Cyber-Physical Systems,"AI, CPS, and safe autonomy 
 Architectures and Networking for CPS 
 Software platforms and systems for CPS 
 Foundations of CPS 
 Human-machine interactions 
 Sensing and monitoring 
 Specification languages and requirements 
 Design, optimization, and synthesis 
 Testing, verification, certification 
 Security, trust, and privacy in CPS 
 Applications of CPS technologies 
 Tools, testbeds, demonstrations and deployments"
DCOSS,17.0,B,B,,7-Feb,,,,,International Conference on Distributed Computing in Sensor Systems,"Artificial Intelligence for IoT 
 Machine learning and data mining for IoT and sensor systems 
 Smart healthcare to combat epidemics (including COVID-19) 
 Edge and fog computing: distributed computing models from sensor to cloud 
 Energy harvesting models and optimization 
 Machine intelligence in distributed sensor systems and real time analytics 
 Communication and networking primitives / protocols for wireless embedded systems / cross-technology communication schemes 
 Autonomy: closing the loop between sensing and actuation 
 Time and location management 
 Task allocation, reprogramming, and reconfiguration 
 Robustness, resilience, and dependability 
 Security and privacy issues 
 Approaches, tools, and experience of deployment and operation 
 Performance analysis: complexity, correctness, scalability 
 Mobile and human-centered sensing 
 Interoperability, heterogeneity and scalability 
 Social sensing and crowd sensing and techniques, applications, and systems 
 Complex systems comprising wearable, robotic and/or fixed sensor systems 
 Novel and compelling applications 
 IoT systems for emerging and developing economies 
 Green and environmentally-friendly IoT (low-power, harvesting, energy management) 
 Design and implementation of real-world applications and systems 
 Measurement studies and deployment experiences"
PRIMA,11.0,B,B,,3-Jun,,,,,International Conference on Principles and Practice of Multi-Agent Systems,"Logics of Agency 
 Logics of Multiagent Systems 
 Logics of Belief and Knowledge 
 Norms, Obligations, Deontic Logic 
 Argumentation 
 Logics and Game Theory 
 Uncertainty in Agent Systems 
 Agent and Multi-Agent Learning 
 Agent-Oriented Software Engineering 
 Interaction protocols 
 Commitments 
 Institutions and Organizations 
 Normative Systems 
 Formal Specification and Verification 
 Agent Programming Languages 
 Middleware and Platforms 
 Testing, debugging, and evolution 
 Deployed System Case Studies 
 Simulation Languages and Platforms 
 Artificial Societies 
 Virtual Environments 
 Emergent Behavior 
 Modeling System Dynamics 
 Application Case Studies 
 Multi-Agent Planning 
 Distributed Problem Solving 
 Teamwork 
 Coalition Formation 
 Negotiation 
 Trust and Reputation 
 Auctions and Mechanism Design 
 Bargaining and Negotiation 
 Behavioral Game Theory 
 Cooperative games: Theory, Analysis, Computation 
 Game Theory for Practical Applications 
 Noncooperative games: Theory, Analysis, Computation 
 Voting 
 Fair Division and Resource Allocation 
 Matching under Preferences 
 Coalition Formation Games 
 Aggregation of Beliefs, Opinions, Judgments 
 Ethics and Computational Social Choice 
 Participatory Budgeting 
 Facility Location 
 Communication Issues in Social Choice, Distortion 
 Behavioral Social Choice 
 Adaptive Personal Assistants 
 Embodied Conversational Agents 
 Virtual Characters 
 Multimodal User Interfaces 
 Mobile Agents 
 Human-Robot Interaction 
 Grid Computing 
 Service-Oriented Computing 
 Cybersecurity 
 Robotics and Multirobot Systems 
 Ubiquitous Computing 
 Social Computing 
 Internet of Things 
 Healthcare 
 Autonomous Systems 
 Transport and Logistics 
 Emergency and Disaster Management 
 Energy and Utilities Management 
 Sustainability and Resource Management 
 Games and Entertainment 
 e-Business, e-Government, and e-Learning 
 Smart Cities 
 Financial markets 
 Legal applications 
 Crowdsourcing"
CLUSTER,21.0,A,A,A2,1-Mar,,,,,IEEE International Conference on Cluster Computing,"HPC and Big Data application studies on large-scale clusters 
 Applications at the boundary of HPC and Big Data 
 New applications for converged HPC/Big Data clusters 
 Application-level performance and energy modeling and measurement 
 Novel algorithms on clusters 
 Hybrid programming techniques in applications and libraries (e.g., MPI+X) 
 Cluster benchmarks 
 Application-level libraries on clusters 
 Effective use of clusters in novel applications 
 Performance evaluation tools 
 Node and system architecture for HPC and Big Data clusters 
 Architecture for converged HPC/Big Data clusters 
 Energy-efficient cluster architectures 
 Packaging, power and cooling 
 Accelerators, reconfigurable and domain-specific hardware 
 Heterogeneous clusters 
 Interconnect/memory architectures 
 Single system/distributed image clusters 
 Administration, monitoring and maintenance tools 
 Cluster system software/operating systems 
 Programming models for converged HPC/Big Data/Machine Learning systems 
 System software supporting the convergence of HPC, Big Data, and Machine Learning processing 
 Cloud-enabling cluster technologies and virtualization 
 Energy-efficient middleware 
 Cluster system-level protocols and APIs 
 Cluster security 
 Resource and job management 
 Programming and software development environments on clusters 
 Fault tolerance and high-availability 
 Cluster architectures for Big Data storage and processing 
 Middleware for Big Data management 
 Cluster-based cloud architectures for Big Data 
 Storage systems supporting the convergence of HPC and Big Data processing 
 File systems and I/O libraries 
 Support and integration of non-volatile memory 
 Visualization clusters and tiled displays 
 Big data visualization tools 
 Programming models for Big Data processing 
 Big Data application studies on cluster architectures"
ICCS,31.0,A,A,A2,18-Feb,,,,,The International Conference on Computational Science,"Scientific Computing 
 Problem Solving Environments 
 Advanced Numerical Algorithms 
 Complex Systems: Modeling and Simulation 
 Hybrid Computational Methods 
 Web- and Grid-based Simulation and Computing 
 Parallel and Distributed Computing 
 Advanced Computing Architectures and New Programming Models 
 Visualization and Virtual Reality as Applied to Computational Science 
 Applications of Computation as a Scientific Paradigm 
 New Algorithmic Approaches to Computational Kernels and Applications 
 Computational Humanities 
 Education in Computational Science 
 Large Scale Scientific Instruments 
 Computational Sociology 
 Medical and Biomedical Computational Science 
 Computational Physics 
 Quantum Computing 
 Uncertainty Quantification 
 Artificial Intelligence in Scientific Computing"
OPODIS,15.0,B,B,B2,31-Aug,,,,,International Conference on Principles of Distributed Systems,"Biological distributed algorithms 
 Blockchain technology and theory 
 Cloud computing, edge computing and data centers 
 Communication networks 
 Concurrent and distributed data structures 
 Dependability, security and privacy of distributed systems 
 Design and analysis of distributed algorithms 
 Distributed event processing 
 Distributed graph algorithms 
 Distributed machine learning and big data analytics 
 Distributed operating systems and middleware 
 Distributed storage, file systems and distributed database systems 
 Embedded and energy-efficient distributed systems 
 Formal methods and programming languages applied to distributed systems 
 Game-theory and economical aspects of distributed computing 
 High-performance, cluster, and grid computing 
 Impossibility results for distributed computing 
 Internet of things and cyber-physical systems 
 Mobile agents, robots and population protocols 
 Self-stabilizing, self-organizing and autonomous systems 
 Synchronization, concurrent algorithms, shared and transactional memory 
 Social networks, peer-to-peer networks and recommendation systems 
 Wireless, mobile, ad-hoc and sensor networks"
DISC,22.0,A,A,A2,13-May,,,,,International Symposium on Distributed Computing,"Biological and nature-inspired distributed algorithms 
 Blockchain protocols 
 Coding and reliable communication 
 Communication networks: algorithms, protocols, and applications 
 Complexity, lower bounds, and impossibility results 
 Design and analysis of distributed algorithms 
 Distributed and concurrent data structures 
 Distributed algorithms for clouds and IoT 
 Distributed graph algorithms 
 Distributed machine learning and data science 
 Distributed operating systems, middleware, database systems 
 Distributed resource management 
 Fault tolerance, reliability, self-organization, self-stabilization 
 Formal methods for distributed computing: verification, synthesis and testing 
 Game-theoretic and knowledge-based approaches to distributed computing 
 Internet and web applications, social networks and recommendation systems 
 Massively-parallel, high-performance, cloud and grid computing 
 Mobile agents, autonomous distributed systems, swarm robotics 
 Multiprocessor and multi-core architectures and algorithms 
 Overlay networks and peer-to-peer networks 
 Population protocols and chemical reaction networks 
 Quantum distributed algorithms 
 Replication, consensus, and consistency 
 Security in distributed computing, cryptographic protocols 
 Synchronization, persistence and transactional memory 
 Wireless, mobile, sensor and ad-hoc networks"
ICARA,,,,,20-Sep,,,,,"International Conference on Automation, Robotics and Applications","Networked and Distributed Intelligent Control 
 Real Time Supervisory Control 
 Adaptive Control Systems 
 Embedded Systems 
 Mobile and Autonomous Systems 
 Virtual Systems 
 Multi-Agent Collaborative Systems (MACS) 
 Biorobotics, Biomechatronics 
 Space and Underwater Robotics 
 Cooperative and Network Robotics 
 Entertainment Robotics 
 Rescue Robotics 
 Agriculture and Field Robotics 
 Service and Security Robotics 
 Biped and Humanoid Robots 
 Human-Machine Interfaces and Interaction 
 Factory and Home Automation 
 Robotics and Industrial Monitoring 
 Simulation and Modelling of Robotic Systems 
 Novel Robotic Locomotion 
 Navigation, Mapping and Path Planning 
 Tele-robotics and Tele-operation 
 Fuzzy Systems, Neuro-Fuzzy Systems 
 Artificial Neural Networks in robotics or automation 
 Artificial Intelligence in Biosystems 
 Genetic Algorithm (GA) 
 Evolutionary Computation (EC) and Algorithms 
 DNA Computing for Autonomous Agents 
 Environmental and Food sensors 
 Vision Systems for Automation and Robotics 
 Smart Sensors and Sensor Fusion 
 Implantable Sensors for Robotic Applications 
 Sensors for Factory and Home Automation 
 Instrumentation for Robotics and Automation 
 Virtual Systems for Training and Education 
 Mechatronics or Robotics Education"
AAAI,157.0,A*,A,A1,30-Aug,,,,,National Conference of the American Association for Artificial Intelligence,"Cognitive Modeling & Cognitive Systems (CMS) 
 Adaptive Behavior 
 Affective Computing 
 Agent & Cognitive Architectures 
 Analogical and Conceptual Reasoning 
 Bayesian Learning 
 Brain modeling 
 Computational Creativity 
 Introspection and Meta-Cognition 
 Memory Storage And Retrieval 
 Simulating Humans 
 Social Cognition and Interaction 
 Structural Learning and Knowledge Capture 
 Other Foundations of Cognitive Modeling & Systems 
 Applications 
 Computer Vision (CV) 
 3D Computer Vision 
 Adversarial Attacks & Robustness 
 Bias, Fairness & Privacy 
 Biometrics, Face, Gesture & Pose 
 Computational Photography, Image & Video Synthesis 
 Image and Video Retrieval 
 Interpretability and Transparency 
 Language and Vision 
 Learning & Optimization for CV 
 Low Level & Physics-based Vision 
 Medical and Biological Imaging 
 Motion & Tracking 
 Multi-modal Vision 
 Object Detection & Categorization 
 Representation Learning for Vision 
 Scene Analysis & Understanding 
 Segmentation 
 Video Understanding & Activity Analysis 
 Vision for Robotics & Autonomous Driving 
 Visual Reasoning & Symbolic Representations 
 Other Foundations of Computer Vision 
 Applications 
 Constraint Satisfaction and Optimization (CSO) 
 Constraint Learning and Acquisition 
 Constraint Optimization 
 Constraint Programming 
 Constraint Satisfaction 
 Distributed CSP/Optimization 
 Mixed Discrete/Continuous Optimization 
 Satisfiability 
 Search 
 Solvers and Tools 
 Other Foundations of Constraint Satisfaction & Optimization 
 Applications 
 Data Mining & Knowledge Management (DMKM) 
 Anomaly/Outlier Detection 
 Data Compression 
 Data Stream Mining 
 Data Visualization & Summarization 
 Graph Mining, Social Network Analysis & Community Mining 
 Linked Open Data, Knowledge Graphs & KB Completion 
 Mining of Spatial, Temporal or Spatio-Temporal Data 
 Mining of Visual, Multimedia & Multimodal Data 
 Recommender Systems 
 Rule Mining & Pattern Mining 
 Scalability, Parallel & Distributed Systems 
 Semantic Web 
 Web Personalization & User Modeling 
 Web Search & Information Retrieval 
 Web-based QA 
 Other Foundations of Data Mining & Knowledge Management 
 Applications 
 Game Theory and Economic Paradigms (GTEP) 
 Adversarial Learning 
 Auctions and Market-Based Systems 
 Behavioral Game Theory 
 Computational Simulations 
 Cooperative Game Theory 
 Coordination and Collaboration 
 Equilibrium 
 Fair Division 
 Game Theory 
 Imperfect Information 
 Mechanism Design 
 Negotiation and Contract-Based Systems 
 Social Choice / Voting 
 Other Foundations of Game Theory & Economic Paradigms 
 Applications 
 Humans and AI (HAI) 
 Brain-Sensing and Analysis 
 Communication Protocols 
 Crowdsourcing 
 Emotional Intelligence 
 Games, Virtual Humans, and Autonomous Characters 
 Human Computation 
 Human-Agent Negotiation 
 Human-Aware Planning and Behavior Prediction 
 Human-Computer Interaction 
 Human-in-the-loop Machine Learning 
 Human-Machine Teams 
 Language Acquisition 
 Learning Human Values and Preferences 
 Procedural Content Generation & Storytelling 
 Other Foundations of Humans & AI 
 Applications 
 Intelligent Robotics (ROB) 
 Behavior Learning & Control 
 Cognitive Robotics 
 Human-Robot Interaction 
 Learning & Optimization for ROB 
 Localization, Mapping, and Navigation 
 Manipulation 
 Motion and Path Planning 
 Multi-Robot Systems 
 Multimodal Perception & Sensor Fusion 
 State Estimation 
 Other Foundations of Intelligent Robots 
 Applications 
 Knowledge Representation and Reasoning (KRR) 
 Action, Change, and Causality 
 Argumentation 
 Automated Reasoning and Theorem Proving 
 Belief Change 
 Case-Based Reasoning 
 Common-Sense Reasoning 
 Computational Complexity of Reasoning 
 Description Logics 
 Diagnosis and Abductive Reasoning 
 Geometric, Spatial, and Temporal Reasoning 
 Knowledge Acquisition 
 Knowledge Engineering 
 Knowledge Representation Languages 
 Logic Programming 
 Nonmonotonic Reasoning 
 Ontologies and Semantic Web 
 Preferences 
 Qualitative Reasoning 
 Reasoning with Beliefs 
 Other Foundations of Knowledge Representation & Reasoning 
 Applications 
 Machine Learning (ML) 
 Active Learning 
 Adversarial Learning & Robustness 
 Auto ML and Hyperparameter Tuning 
 Bayesian Learning 
 Bias and Fairness 
 Bio-inspired Learning 
 Calibration & Uncertainty Quantification 
 Causal Learning 
 Classification and Regression 
 Clustering 
 Deep Generative Models & Autoencoders 
 Deep Learning Theory 
 Deep Neural Architectures 
 Deep Neural Network Algorithms 
 Dimensionality Reduction/Feature Selection 
 Distributed Machine Learning & Federated Learning 
 Ensemble Methods 
 Evaluation and Analysis (Machine Learning) 
 Evolutionary Learning 
 Graph-based Machine Learning 
 Imitation Learning & Inverse Reinforcement Learning 
 Kernel Methods 
 Learning on the Edge & Model Compression 
 Learning Preferences or Rankings 
 Learning Theory 
 Lifelong and Continual Learning 
 Matrix & Tensor Methods 
 Meta Learning 
 Multi-class/Multi-label Learning & Extreme Classification 
 Multi-instance/Multi-view Learning 
 Multimodal Learning 
 Online Learning & Bandits 
 Optimization 
 Privacy-Aware ML 
 Probabilistic Methods 
 Quantum Machine Learning 
 Reinforcement Learning Algorithms 
 Reinforcement Learning Theory 
 Relational Learning 
 Representation Learning 
 Scalability of ML Systems 
 Semi-Supervised Learning 
 Time-Series/Data Streams 
 Transfer, Domain Adaptation, Multi-Task Learning 
 Transparent, Interpretable, Explainable ML 
 Unsupervised & Self-Supervised Learning 
 Other Foundations of Machine Learning 
 Applications 
 Multiagent Systems (MAS) 
 Adversarial Agents 
 Agent Communication 
 Agent-Based Simulation and Emergent Behavior 
 Agent/AI Theories and Architectures 
 Agreement, Argumentation & Negotiation 
 Coordination and Collaboration 
 Distributed Problem Solving 
 Mechanism Design 
 Modeling other Agents 
 Multiagent Learning 
 Multiagent Planning 
 Multiagent Systems under Uncertainty 
 Other Foundations of Multiagent Systems 
 Applications 
 Philosophy and Ethics of AI (PEAI) 
 Accountability 
 AI and Epistemology 
 AI and Jobs/Labor 
 AI and Law, Justice, Regulation & Governance 
 Artificial General Intelligence 
 Bias, Fairness & Equity 
 Consciousness and Philosophy of Mind 
 Interpretability and Explainability 
 Morality and Value-based AI 
 Philosophical Foundations of AI 
 Privacy and Security 
 Robot Rights 
 Safety, Robustness & Trustworthiness 
 Societal Impact of AI 
 Other Foundations of Philosophy and Ethics of AI 
 Applications 
 Planning, Routing, and Scheduling (PRS) 
 Activity and Plan Recognition 
 Control of High-Dimensional Systems 
 Deterministic Planning 
 Mixed Discrete/Continuous Planning 
 Model-Based Reasoning 
 Optimization of Spatio-temporal Systems 
 Plan Execution and Monitoring 
 Planning under Uncertainty 
 Planning with Markov Models (MDPs, POMDPs) 
 Planning/Scheduling and Learning 
 Replanning and Plan Repair 
 Routing 
 Scheduling 
 Scheduling under Uncertainty 
 Temporal Planning 
 Other Foundations of Planning, Routing & Scheduling 
 Applications 
 Reasoning under Uncertainty (RU) 
 Bayesian Networks 
 Causality 
 Decision/Utility Theory 
 Graphical Model 
 Probabilistic Programming 
 Relational Probabilistic Models 
 Sequential Decision Making 
 Stochastic Models & Probabilistic Inference 
 Stochastic Optimization 
 Uncertainty Representations 
 Other Foundations of Reasoning under Uncertainty 
 Applications 
 Search and Optimization (SO) 
 Adversarial Search 
 Algorithm Configuration 
 Algorithm Portfolios 
 Distributed Search 
 Evaluation and Analysis 
 Evolutionary Computation 
 Heuristic Search 
 Local Search 
 Metareasoning and Metaheuristics 
 Mixed Discrete/Continuous Search 
 Runtime Modeling 
 Sampling/Simulation-based Search 
 Other Foundations of Search & Optimization 
 Applications 
 Speech & Natural Language Processing (SNLP) 
 Adversarial Attacks & Robustness 
 Bias, Fairness, Transparency & Privacy 
 Conversational AI/Dialogue Systems 
 Discourse, Pragmatics & Argument Mining 
 Generation 
 Information Extraction 
 Interpretability & Analysis of NLP Models 
 Language Grounding 
 Language Models 
 Learning & Optimization for SNLP 
 Lexical & Frame Semantics, Semantic Parsing 
 Machine Translation & Multilinguality 
 Ontology Induction from Text 
 Phonology, Morphology, Word Segmentation 
 Psycholinguistics and Language Learning 
 Question Answering 
 Sentence-level semantics and Textual Inference 
 Sentiment Analysis and Stylistic Analysis 
 Speech and Multimodality 
 Summarization 
 Syntax � Tagging, Chunking & Parsing 
 Text Classification 
 Text Mining 
 Other Foundations of Speech & Natural Language Processing 
 Applications 
 Domain(s) of Application (APP) 
 Accessibility 
 Art/Music/Creativity 
 Bioinformatics 
 Biometrics 
 Building Design & Architecture 
 Business/Marketing/Advertising/E-commerce 
 Cloud 
 Communication 
 Design 
 Economic/Financial 
 Education 
 Energy, Environment & Sustainability 
 Entertainment 
 Games 
 Healthcare, Medicine & Wellness 
 Humanities & Computational Social Science 
 Internet of Things, Sensor Networks & Smart Cities 
 Misinformation & Fake News 
 Mobility, Driving & Flight 
 Natural Sciences 
 Security 
 Social Networks 
 Software Engineering 
 Transportation 
 Web 
 Other Applications"
GAMESEC,21.0,,,,13-Jul,,,,,Conference on Decision and Game Theory for Security,"Game theory, control, and mechanism design for security and privacy 
 Decision making and decision theory for cybersecurity and security requirements engineering 
 Security and privacy for the Internet-of-Things, cyber-physical systems, cloud computing, resilient control systems, and critical infrastructure 
 Pricing, economic incentives, security investments, and cyber insurance for dependable and secure systems 
 Risk assessment and security risk management 
 Security and privacy of wireless and mobile communications, including user location privacy 
 Socio-technological and behavioral approaches to security 
 Empirical and experimental studies with game, control, or optimization theory-based analysis for security and privacy 
 Behavioral science, decision making, heuristics, and biases 
 Modeling and analysis of deception for security within a game-theoretic framework 
 Adversarial or strategic machine learning and the role of AI in system security 
 Learning in games for security 
 Game-theoretic or decision-theoretic analysis for the control of epidemics/virus propagation 
 Decision and game theory for blockchain security"
COMPASS,14.0,,,,29-Oct,,,,,ACM SIGCAS/SIGCHI Computing and Sustainable Societies,"Connectivity solutions and measurements 
 Mobile systems and applications 
 Spectrum management 
 Content distribution 
 Low-cost and/or low-energy computing systems and devices 
 IoT devices and other systems for improving infrastructure (buildings, energy systems, roads, water and sanitation systems, agriculture, healthcare, governance, etc.) 
 Computing technologies applied in energy and electricity networks 
 Systems for measurement, monitoring, and/or management of urban and rural environments 
 Deployment of sensing and communications technologies, case studies, and lessons learned 
 Security and privacy in systems and IoT 
 Smart cities applications 
 Methods for large-scale data analysis, participatory sensing and crowd-sourced data collection. 
 Novel prediction and/or decision-support models in societally critical domains like healthcare, education, governance and social policy. 
 Analysis of massive, complex data sources, such as networked data, satellite data, mobile phone data, time-series, and spatial-temporal data. 
 Methods for working with unstructured data including natural language and images, and multi-modal analyses combining structured and unstructured data. 
 Data collection and techniques for building models for underrepresented contexts, including data regarding different groups and communities, underrepresented languages of the world, low-resource areas, etc. 
 Handling of missing, messy, and biased data, including data cleaning, data wrangling, data integration, and domain adaptation methods. 
 Data privacy, security, and anonymity while building machine learning models. 
 FATE (fairness, accountability, transparency, and ethics) in AI and ML, especially as it applies to applications of these technologies in social impact domains. 
 Climate change modeling 
 Environmental scientific studies 
 Impact of climate change on populations 
 Modeling environmental pollution and its impact of populations 
 Biodiversity, wildlife and ecosystem conservation 
 Sustainable management of natural resources 
 Environmental policy studies and economics 
 Studies on the limits of the sustainability of technology 
 Measuring and evaluating the impact of nature-based strategies 
 Designing technologies or applications for underserved, marginalized, or at-risk communities 
 Human-centered AI (where the contribution is related to the design, usage, sociotechnical context, or application rather than the AI itself) 
 Information and computer ethics 
 Design or study of sociotechnical systems for underserved communities 
 Information system and technology design methodologies 
 Social relationships and information flows within and across communities 
 Gender and intersectionality 
 Evaluations of usage and impact of technologies deployed in the field 
 Human-centered security and privacy 
 Reflections from long-term deployments 
 Equality, diversity and inclusion 
 Other topics related to interactions between technology, humans, and/or society 
 Policy evaluation using randomized control trials or observational data 
 Study of markets, market design, and new forms of economic activity such as gig work and micro-lending, especially in low-and middle-income societies 
 Measuring development, economic, or policy outcomes using non-traditional data (administrative, satellite, social media, mobile, text, etc.) 
 Applying AI/ML methods to social science or economic policy 
 Development economics studies 
 Intersection of politics, governance, and development 
 Social network analysis and analysis of social relationships 
 Applications, effects, and regulation of technology in low- and middle-income societies"
ICLR,253.0,A*,,,28-Sep,,,,,International Conference on Learning Representations,"unsupervised, semi-supervised, and supervised representation learning 
 representation learning for planning and reinforcement learning 
 representation learning for computer vision and natural language processing 
 metric learning and kernel learning 
 sparse coding and dimensionality expansion 
 hierarchical models 
 optimization for representation learning 
 learning representations of outputs or states 
 optimal transport 
 theoretical issues in deep learning 
 visualization or interpretation of learned representations 
 implementation issues, parallelization, software platforms, hardware 
 applications in audio, speech, robotics, neuroscience, computational biology, or any other field 
 societal considerations of representation learning including fairness, safety, privacy, and interpretability"
AINA,26.0,B,B,A2,10-Jan,,,,,International Conference on Advanced Information Networking and Applications,"Communication Protocol and Architecture 
 High-speed Communication and Network 
 Wireless Communication and Network 
 Multimedia Communication System 
 Personal Communication System 
 Mobile Ad-hoc and Sensor Network 
 Low-power Network and System 
 Wearable Network and System 
 Embedded System and Networking 
 Internet Technology and IP-based Applications 
 Network Control and Management 
 Network Performance, Analysis and Evaluation 
 Quality of Services (QoS) 
 Multicast Routing and Technology 
 Security, Privacy and Trust 
 Fault-tolerant and Dependable System 
 Multi-agent System and Applications 
 Parallel/Distributed Algorithm and Architecture 
 Distributed Database and Data Mining 
 Distributed Graphics and VR/AR/MR System 
 Distributed AI and Soft/Natural Computing 
 Biological Informatics 
 E-Learning, E-Commerce, E-Society, etc. 
 Grid, Cluster and Internet Computing 
 Peer-to-Peer (P2P) System 
 Service-oriented Framework and Middleware 
 Autonomic Computing and Communication 
 WWW, Semantic Web and Cyber World 
 Mobile and Context-aware Computing 
 Ubiquitous/Pervasive Networks and Computing 
 Ubiquitous Intelligence and Smart World 
 Smart Object, Space/Environment and System 
 Innovative Networking and Applications 
 Social, Ethical & Other Issues of Networked World 
 Network and Application Hardware 
 Cognitive Network Access 
 Digital Eco Systems"
UAI,40.0,A,A,A1,25-Feb,,,,,Conference on Uncertainty in Artificial Intelligence,"Algorithms 
 Approximate Inference 
 Bayesian Methods 
 Belief Propagation 
 Exact Inference 
 Kernel Methods 
 Missing Data Handling 
 Monte Carlo Methods 
 Optimization - Combinatorial 
 Optimization - Convex 
 Optimization - Discrete 
 Optimization - Non-Convex 
 Probabilistic Programming 
 Randomized Algorithms 
 Spectral Methods 
 Variational Methods 
 Applications 
 Cognitive Science 
 Computational Biology 
 Computer Vision 
 Crowdsourcing 
 Earth System Science 
 Education 
 Forensic Science 
 Healthcare 
 Natural Language Processing 
 Neuroscience 
 Planning and Control 
 Privacy and Security 
 Robotics 
 Social Good 
 Sustainability and Climate Science 
 Text and Web Data 
 Learning 
 Active Learning 
 Adversarial Learning 
 Causal Learning 
 Classification 
 Clustering 
 Compressed Sensing and Dictionary Learning 
 Deep Learning 
 Density Estimation 
 Dimensionality Reduction 
 Ensemble Learning 
 Feature Selection 
 Hashing and Encoding 
 Multitask and Transfer Learning 
 Online and Anytime Learning 
 Policy Optimization and Policy Learning 
 Ranking 
 Recommender Systems 
 Reinforcement Learning 
 Relational Learning 
 Representation Learning 
 Semi-Supervised Learning 
 Structure Learning 
 Structured Prediction 
 Unsupervised Learning 
 Models 
 Bandits 
 (Dynamic) Bayesian Networks 
 Generative Models 
 Graphical Models - Directed 
 Graphical Models - Undirected 
 Graphical Models - Mixed 
 Markov Decision Processes 
 Models for Relational Data 
 Neural Networks 
 Probabilistic Circuits 
 Regression Models 
 Spatial and Spatio-Temporal Models 
 Temporal and Sequential Models 
 Topic Models and Latent Variable Models 
 Principles 
 Explainability 
 Causality 
 Computational and Statistical Trade-Offs 
 Fairness 
 Privacy 
 Reliability 
 Robustness 
 (Structured) Sparsity 
 Representation 
 Constraints 
 Dempster-Shafer 
 (Description) Logics 
 Imprecise Probabilities 
 Influence Diagrams 
 Knowledge Representation Languages 
 Theory 
 Computational Complexity 
 Control Theory 
 Decision theory 
 Game theory 
 Information Theory 
 Learning Theory 
 Probability Theory 
 Statistical Theory"
COCOA,9.0,B,B,B4,11-Aug,,,,,Conference on Combinatorial Optimization and Applications,"Algorithms and Data Structures 
 Approximation Algorithms 
 Operation Research 
 Communication Network Optimization 
 Energy Efficient Wireless Sensor Networks 
 Optimal Resource Management 
 Social Networks 
 Complex Network Optimization 
 Computational Algebra 
 Computational Geometry 
 Computational Biology 
 Computational Financing 
 Computational Game Theory 
 Computational Learning Theory 
 Computational Number Theory 
 Bioinformatics 
 Graph Theory 
 Graph Search 
 Distributed Computational Systems 
 Urban Transportation Networks 
 Mobile Ad Hoc Networks 
 Scheduling 
 Big Data"
WG,13.0,A,A,B1,14-Feb,,,,,Workshop on Graph-Theoretic Concepts in Computer Science,"design and analysis of sequential, parallel, randomized, parameterized algorithms 
 distributed graph and network algorithms 
 structural graph theory with algorithmic or complexity applications 
 computational complexity of graph and network problems 
 graph grammars, graph rewriting systems and graph modeling 
 graph drawing and layouts 
 computational geometry 
 computational biology 
 graph mining 
 random graphs and models of the web and scale-free networks"
