Title,Acronym_x,CORE,ERA Score,Acronym_y,h5_index,h5_median
International Conference on the Theory of Information Retrieval,ICTIR,Unranked,,ICTIR,24.0,42.0
International Conference on Theorem Proving with Analytic Tableaux and Related Methods,TABLEAUX,B,,TABLEAUX,,
International Conference on Theory and Applications of Satisfiability Testing,SAT,A,,SAT,21.0,29.0
International Conference on Theory and Practice of Digital Libraries (was ECDL until 2010),TPDL,B,,TPDL,,
International Conference on Tools with Artificial Intelligence,ICTAI,B,,ICTAI,28.0,38.0
"International Conference on Trust, Privacy and Security in Digital Business",TrustBus,B,,TrustBus,,
"International Conference on Trust, Security and Privacy in Computing and Communications",TrustCom,B,,TrustCom,29.0,52.0
International Conference on Ubiquitous Intelligence and Computing,UIC,C,,UIC,13.0,19.0
International Conference on Unconventional Computation and Natural Computation (was International Conference on Unconventional Computation),UC,C,,UC,,
"International Conference on User Modelling, Adaptation, and Personalization (was AH and UM)",UMAP,B,,UMAP,31.0,46.0
International Conference on Vehicle Technology and Intelligent Transport Systems,VEHITS,C,,VEHITS,16.0,18.0
International Conference on Very Large Databases,VLDB,A*,,VLDB,79.0,122.0
International Conference on Virtual Execution Environments,VEE,B,,VEE,,
International Conference on Virtual Rehabilitation,ICVR,Unranked,,ICVR,10.0,16.0
International Conference on VLSI Design,VLSID,National: India,,VLSID,14.0,17.0
International Conference on Web and Social Media,ICWSM,A,,ICWSM,56.0,88.0
International Conference on Web Engineering,ICWE,B,,ICWE,15.0,18.0
International Conference on Web Information Systems and Technologies,WEBIST,C,,WEBIST,14.0,20.0
International Conference on Web Information Systems Engineering,WISE,B,,WISE,18.0,25.0
International Conference on Wireless Networks and Mobile Communications,WINCOM,National:Morocco,,WINCOM,19.0,27.0
"International Conference: Sciences of Electronics, Technologies of information and Telecommunication",SETIT,Unranked,,SETIT,,
"International Conferences in Central Europe on Computer Graphics, Visualization and Computer Vision",WSCG,National: Czecholslovakia,,WSCG,,
International Congress on Computational and Applied Mathematics,ICCAM,C,,ICCAM,1.0,2.0
International Congress on Modelling and Simulation,MODSIM,Australasian C,,MODSIM,5.0,10.0
International Cross-Domain Conference for Machine Learning and Knowledge Extraction,CD-MAKE,C,,CD-MAKE,20.0,34.0
International CSI Computer Conference,CSICC,National: Iran,,CSICC,,
International Database Engineering and Applications Symposium,IDEAS,C,,IDEAS,16.0,23.0
International European Conference on Parallel and Distributed Computing (was International Conference on Parallel Processing),EuroPar,B,,EuroPar,,
International FLINS Conference on Robotics and Artificial Intelligence (was International Fuzzy Logic and Intelligent technologies in Nuclear Science Conference),FLINS,C,,FLINS,,
International Frontiers of Algorithmics Workshop,FAW,National: China,,FAW,,
International Joint Conference on Artificial Intelligence,IJCAI,A*,,IJCAI,136.0,192.0
International Joint Conference on Automated Reasoning,IJCAR,A,,IJCAR,,
"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)",AAMAS,A*,,AAMAS,,
International Joint Conference on Biometrics,IJCB,B,,IJCB,,
International Joint Conference on Computational Intelligence,IJCCI,C,,IJCCI,136.0,192.0
"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",IC3K,C,,IC3K,10.0,17.0
International Joint Conference on Natural Language Processing,IJCNLP,B,,IJCNLP,32.0,56.0
International Joint Conference on Rough Sets (2014 International Conference on Rough Sets and Current Trends in Computing joined with 3 others),IJCRS (was RSCTC),C,,IJCRS (was RSCTC),,
International Joint Conference on Rules and Reasoning,RuleML+RR,B,,RuleML+RR,,
International KES Conference on Agents and Multiagent systems - Technologies and Applications,KES AMSTA,C,,KES AMSTA,,
International Machine Vision and Image Processing Conference,IMVIP,National: ireland,,IMVIP,14.0,25.0
International Natural Language Generation Conference,INLG,B,,INLG,29.0,45.0
International Network Optimization Conference,INOC,C,,INOC,,
International Picture Coding Symposium,PCS,C,,PCS,16.0,30.0
International Semantic Web Conference,ISWC,A,,ISWC,37.0,67.0
International Symposium 'Problems of Redundancy in Information and Control Systems',Redundancy,National Russia,,Redundancy,10.0,13.0
International Symposium on Algorithmic Game Theory,SAGT,B,,SAGT,15.0,26.0
International Symposium on Algorithms and Computation,ISAAC,A,,ISAAC,15.0,17.0
International Symposium on Algorithms and Experiments for  Wireless Networks,Algosensors,C,,Algosensors,,
International Symposium on Applied Computational Intelligence and Informatics,SACI,National: Romania,,SACI,13.0,19.0
International Symposium on Applied Machine Intelligence and Informatics,SAMI,National: slovakia,,SAMI,13.0,20.0
International Symposium on Artificial Intelligence and Mathematics,ISAIM,National: USA,,ISAIM,19.0,29.0
International Symposium on Artificial Life and Robotics,AROB,C,,AROB,17.0,24.0
International Symposium on Automated Technology for Verification and Analysis,ATVA,B,,ATVA,20.0,32.0
International Symposium on Automation and Robotics in Construction,ISARC,C,,ISARC,25.0,31.0
International Symposium on Autonomous Decentralized Systems,ISADS,C,,ISADS,,
International Symposium on Code Generation and Optimization,CGO,A,,CGO,25.0,35.0
International Symposium on Combinatorial Optimisation,ISCO,C,,ISCO,,
International Symposium on Computational Geometry,SoCG,A,,SoCG,22.0,32.0
International Symposium on Computer Architecture and High Performance Computing,SBAC-PAD,C,,SBAC-PAD,12.0,18.0
International Symposium on Distributed Computing (was WDAG),DISC,A,,DISC,22.0,30.0
International Symposium on Distributed Simulation and Real Time Applications,DS-RT,C,,DS-RT,14.0,21.0
International Symposium on Empirical Software Engineering and Measurement,ESEM,A,,ESEM,28.0,45.0
International Symposium on Experimental Algorithms,SEA,B,,SEA,9.0,13.0
International Symposium on Formal Methods (was Formal Methods Europe FME),FM,A,,FM,,
International Symposium on Foundations of Intelligent Systems,ISMIS,C,,ISMIS,7.0,10.0
International Symposium on Functional and Logic Programming,FLOPS,National: Japan,,FLOPS,,
International Symposium on Fundamentals of Computation Theory,FCT,B,,FCT,,
International Symposium on Grids and Clouds (was International Symposium on Grid Computing),ISGC,C,,ISGC,,
International Symposium on High Performance Computer Architecture,HPCA,A*,,HPCA,50.0,86.0
International Symposium on Information Assurance and Security,IAS,C,,IAS,,
International Symposium on Information Theory and Its Applications,ISITA,C,,ISITA,20.0,27.0
International Symposium on Innovations in Intelligent Systems and Applications,INISTA,C,,INISTA,20.0,30.0
International Symposium on Intelligent Systems and Informatics,SISY,National: serbia,,SISY,27.0,67.0
International Symposium on Latin American Theoretical Informatics,LATIN,B,,LATIN,,
"International Symposium on Leveraging Applications of Formal Methods, Verification and Validation",ISoLA,C,,ISoLA,18.0,23.0
International Symposium on Logic-based Program Synthesis and Transformation,LOPSTR,C,,LOPSTR,,
International Symposium on Mathematical Foundations of Computer Science,MFCS,A,,MFCS,19.0,24.0
International Symposium on Memory Management,ISMM,C,,ISMM,,
International Symposium on Microarchitecture,MICRO,TBR,,MICRO,61.0,96.0
"International Symposium on Modelling and Optimization in Mobile, Ad Hoc, and Wireless Networks",WiOpt,B,,WiOpt,16.0,29.0
"International Symposium on Networks, Computers and Communications",ISNCC,C,,ISNCC,28.0,36.0
International Symposium on Neural Networks,ISNN,C,,ISNN,95.0,146.0
"International Symposium on New Ideas, New Paradigms, and Reflections on Programming and Software",Onward,C,,Onward,,
International Symposium on Open Collaboration (was International Symposiums on Wikis),OPENSYM,C,,OPENSYM,,
International Symposium on Parallel and Distributed Computing,ISPDC,C,,ISPDC,67.0,102.0
International Symposium on Parameterized and Exact Computation (was IWPEC pre 2004),IPEC,B,,IPEC,,
International Symposium on Robotics Research,ISRR,C,,ISRR,,
International Symposium on Search Based Software Engineering,SSBSE,B,,SSBSE,,
International Symposium on Software Engineering for Adaptive and Self-Managing Systems,SEAMS,A,,SEAMS,21.0,35.0
"International Symposium on Software Engineering: Theories, Tools, and Applications",SETTA,National:China,,SETTA,,
International Symposium on Software Reliability Engineering,ISSRE,A,,ISSRE,28.0,41.0
International Symposium on Software Testing and Analysis,ISSTA,A,,ISSTA,45.0,77.0
International Symposium on Spatial and Temporal Databases,SSTD,B,,SSTD,,
International Symposium on Spatial Data Handling,SDH,C,,SDH,,
International Symposium on Spatial Data Quality,ISSDQ,C,,ISSDQ,,
International Symposium on String Processing and Information Retrieval,SPIRE,C,,SPIRE,13.0,16.0
International Symposium on Symbolic and Algebraic Computation,ISSAC,A,,ISSAC,14.0,18.0
International Symposium on Symbolic and Numeric Algorithms for Scientific Computing,SYNASC,National: romania,,SYNASC,10.0,13.0
International Symposium on Technology and Society,ISTAS,C,,ISTAS,110.0,170.0
International Symposium on Temporal Representation and Reasoning,TIME,C,,TIME,,
International Symposium on the Mathematical Theory of Networks and Systems,MTNS,C,,MTNS,,
International Symposium on Theoretical Aspects of Computer Science,STACS,A,,STACS,20.0,25.0
International Symposium on Theoretical Aspects of Software Engineering,TASE,National: China,,TASE,9.0,15.0
International Symposium on Ubiquitous Virtual Reality,ISUVR,National: S. Korea,,ISUVR,,
International Symposium on Visual Computing,ISVC,National: USA,,ISVC,18.0,28.0
International Telecommunication Networks and Applications Conference (was Australian Telecommunication Networks and Applications Conference),ITNAC,Australasian C,,ITNAC,,
International Teletraffic Congress,ITC,Unranked,,ITC,,
International Visualization in Transportation Symposium,TRB,National: USA,,TRB,,
International Wordnet Conference (Global Wordnet Conference),GWC,C,,GWC,13.0,22.0
International Work-Conference on Artificial and Natural Neural Networks,IWANN,National: Spain,,IWANN,16.0,26.0
International Work-conference on the Interplay between Natural and Artificial Computation,IWINAC,National,,IWINAC,13.0,19.0
International Workshop on Algebraic and Combinatorial Coding Theory,ACCT,National,,ACCT,,
International Workshop on Approximation Algorithms for Combinatorial Optimization Problems and International Conference on Randomization and Computation,APPROX/RANDOM,A,,APPROX/RANDOM,,
International Workshop on Combinations of Intelligent Methods and Applications,CIMA,C,,CIMA,,
International Workshop on Combinatorial Algorithm,IWOCA,C,,IWOCA,11.0,14.0
International Workshop on Combinatorial Image Analysis: Theory and Applications,IWCIA,C,,IWCIA,,
"International Workshop on Coordination, Organizations, Institutions, Norms and Ethics for Governance of Multi-Agent Systems (Ethics added 2020)",COINE,C,,COINE,,
International Workshop on Critical Information Infrastructures Security,CRITIS,C,,CRITIS,,
International Workshop on Data Management on New Hardware,DaMoN,C,,DaMoN,,
International Workshop on Data Warehousing and OLAP,DOLAP,C,,DOLAP,,
International Workshop on Digital Watermarking,IWDW,C,,IWDW,10.0,18.0
International Workshop on Document Analysis Systems,DAS,B,,DAS,,
International Workshop on Enterprise and Organizational Modelling and Simulation,EOMAS,C,,EOMAS,,
International Workshop on Fast Software Encryption,FSE,Journal Published,,FSE,,
International Workshop on Formal Methods for interactive Systems,FMIS,C,,FMIS,,
International Workshop on Graph-Theoretic Concepts in Computer Science,WG,B,,WG,14.0,16.0
International workshop on High-Level Parallel Programming and Applications,HLPP,C,,HLPP,,
International Workshop on High-Level Parallel Programming Models and Supportive Environments,HIPS,C,,HIPS,,
International Workshop on Information Security Applications,WISA,National: korea,,WISA,26.0,46.0
International Workshop on Modelling in Software Engineering,MISE,C,,MISE,,
International Workshop on MultiAgent Based Simulation,MABS,C,,MABS,,
International Workshop on Multimedia Signal Processing,MMSP,C,,MMSP,24.0,30.0
International Workshop on Post-Quantum Cryptography,PQCrypto,C,,PQCrypto,25.0,43.0
International Workshop on Principles of Diagnosis,DX,C,,DX,,
International Workshop on Requirements Engineering: Foundation for Software Quality,REFSQ,B,,REFSQ,20.0,29.0
International Workshop on Security,IWSEC,National: Japan,,IWSEC,47.0,86.0
International Workshop on Soft Computing Applications,SOFA,National: Romania,,SOFA,16.0,23.0
International Workshop on Software and Compilers for Embedded Systems,SCOPES,C,,SCOPES,,
International Workshop on the Algorithmic Foundations of Robotics,WAFR,C,,WAFR,,
International Workshop on Visualization for Cyber Security,VizSec,C,,VizSec,,
International Workshop on Web and Wireless Geographical Information Systems,W2GIS,C,,W2GIS,,
International Workshops on Enabling Technologies: Infrastructures for Collaborative Enterprises,WETICE,C,,WETICE,16.0,24.0
International World Wide Web Conference,WWW,A*,,WWW,112.0,169.0
Internet Measurement Conference,IMC,A,,IMC,45.0,70.0
Interspeech (combined EuroSpeech and ICSLP in 2000),Interspeech,A,,Interspeech,,
ISC High Performance (was International Supercomputing Conference),ISC,C,,ISC,,
ISCA International Conference on Computer Applications in Industry and Engineering,CAINE,C,,CAINE,,
Joint Conference of the International Workshop on Software Measurement and the International Conference on Software Process and Product Measurement (IWSM and Mensura combined from 2007),IWSM Mensura,C,,IWSM Mensura,,
"Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications (GRAPP and VISAPP combined from 2008)",VISIGRAPP,Multiconference,,VISIGRAPP,,
KES International Symposium on Intelligent Decision Technologies,KES IDT,C,,KES IDT,,
Knowledge capture,K-CAP,B,,K-CAP,16.0,21.0
Knowledge Domain Visualisation,KDViz,National: UK,,KDViz,,
Knowledge Visualization and Visual Thinking,KV,C,,KV,,
Language Resources and Evaluation Conference,LREC,B,,LREC,59.0,85.0
"Language, Data and Knowledge",LDK,C,,LDK,,
Latin American Conference on Informatics,CLEI,C,,CLEI,11.0,20.0
"Latin-American Algorithms, Graphs and Optimization Symposium",LAGOS,C,,LAGOS,,
Logic Programming and Automated Reasoning,LPAR,B,,LPAR,,
Logical Foundations of Computer Science,LFCS,National: USA,,LFCS,,
"Logics in Artificial Intelligence, European Conference",JELIA,A,,JELIA,13.0,18.0
Machine Translation Summit,MT SUMMIT,C,,MT SUMMIT,,
Machine Vision Applications,MVA,National: japan,,MVA,43.0,76.0
"Machines, Computations and Universality (was Universal Machines and Computations)",MCU,C,,MCU,,
Malaysia International Conference on Communications,MICC,Regional,,MICC,,
Mathematics of Program Construction,MPC,B,,MPC,,
Measurement and Modeling of Computer Systems,SIGMETRICS,A*,,SIGMETRICS,,
Medical Image Computing and Computer-Assisted Intervention,MICCAI,A,,MICCAI,96.0,141.0
Mensch & Computer,MuC,National: Germany,,MuC,22.0,28.0
Mobile and Ubiquitous Multimedia (ACM),MUM,B,,MUM,,
Modelling and Optimization: Theory and Applications,MOPTA,National: USA,,MOPTA,,
Multimedia and Network Information Systems,MISSI,National: Poland,,MISSI,,
National Conference of the American Association for Artificial Intelligence,AAAI,A*,,AAAI,,
National Conference of The Australian Society for Operations Research,ASOR,Australasian C,,ASOR,,
Network and Operating System Support for Digital Audio and Video,NOSSDAV,B,,NOSSDAV,,
New Security Paradigms Workshop,NSPW,C,,NSPW,,
New Zealand Game Developers Conference,NZGDC,Australasian C,,NZGDC,,
Nordic Conference on Human-Computer Interaction,NordiCHI,Regional:Scandinavia,,NordiCHI,24.0,30.0
North American Association for Computational Linguistics,NAACL,A,,NAACL,132.0,228.0
"Pacific Asia Conference on Language, Information and Computation",PACLIC,C,,PACLIC,13.0,18.0
Pacific Conference on Computer Graphics and Applications,PG,Journal Published,,PG,,
Pacific Rim International Conference on Artificial Intelligence,PRICAI,B,,PRICAI,20.0,29.0
Pacific Rim International Symposium on Dependable Computing,PRDC,C,,PRDC,13.0,18.0
Pacific Rim Knowledge Acquisition Workshop,PKAW,C,,PKAW,,
Pacific Symposium on Biocomputing,PSB,National: USA,,PSB,23.0,46.0
Pacific-Asia Conference on Knowledge Discovery and Data Mining,PAKDD,B,,PAKDD,30.0,45.0
Pacific-Rim Symposium on Image and Video Technology,PSIVT,C,,PSIVT,,
Parallel Problem Solving from Nature,PPSN,A,,PPSN,19.0,35.0
Passive and Active Measurement Conference,PAM,B,,PAM,20.0,29.0
Pattern Languages of Programs,PLOP,C,,PLOP,13.0,23.0
Portuguese Conference on Artificial Intelligence,EPIA,National: Portugal,,EPIA,16.0,21.0
Practical Applications of Agents and Multiagent Systems,PAAMS,National: Spain,,PAAMS,13.0,21.0
Practical Aspects of Declarative Languages,PADL,C,,PADL,,
Practice and Theory of Automated Timetabling,PATAT,C,,PATAT,,
Prague Stringology Conference,PSC,National: Czech,,PSC,15.0,23.0
Principles and Practice of Parallel Programming,PPoPP,B,,PPoPP,33.0,48.0
Privacy Enhancing Technologies Symposium (was International Workshop of Privacy Enhancing Technologies),PETS,A,,PETS,,
Privacy in Statistical Databases,PSD,C,,PSD,,
Product Focused Software Process Improvement,PROFES,B,,PROFES,18.0,24.0
Real Time Systems Symposium,RTSS,A*,,RTSS,20.0,33.0
Richard Tapia Celebration of Diversity in Computing Conference,Tapia,National: USA,,Tapia,,
Robot Soccer World Cup,RoboCup,C,,RoboCup,,
Robotics: Science and Systems,RSS,TBR,,RSS,66.0,114.0
Selected Areas in Cryptography,SAC,B,,SAC,21.0,40.0
Semantics - International Conference on Semantic Systems,Semantics,"Regional: Austria, Germany, Netherlands",,Semantics,,
SGAI International Conference on Artificial Intelligence,SGAI,National: UK,,SGAI,,
SIAM Conference on Discrete Mathematics,DM,C,,DM,26.0,32.0
SIAM Conference on Optimization,OP,C,,OP,,
SIAM International Conference on Data Mining,SDM,A,,SDM,36.0,63.0
SIGGRAPH Asia,SiggraphA,journal published,,SiggraphA,25.0,43.0
Simulation and Synthesis in Medical Imaging,SASHIMI,C,,SASHIMI,,
Simulation Technology and Training Conference,SimTecT,Australasian C,,SimTecT,,
SKLOIS Conference on Information Security and Cryptology,Inscrypt,National: China,,Inscrypt,,
Smart Card Research and Advanced Application Conference,CARDIS,C,,CARDIS,,
Software Process Improvement and Capability Determination,SPICE,C,,SPICE,,
Software Product Lines Conference,SPLC,B,,SPLC,25.0,36.0
"Software Quality, Reliability, and Security (was International Conference on Quality Software, QSIC, that merged with SERE 2015)",QRS,C,,QRS,,
Static Analysis Symposium,SAS,B,,SAS,14.0,26.0
Structural and Syntactical Pattern Recognition,SSPR,B,,SSPR,,
Symposium Model Analysis and Simulation of Computer and Telecommunications Systems,MASCOTS,B,,MASCOTS,16.0,21.0
Symposium of Asian Association for Algorithms and Computation,AAAC,C,,AAAC,,
Symposium on Advances in DB and Information Systems,ADBIS,C,,ADBIS,16.0,24.0
Symposium on Geometry Processing,SGP,B,,SGP,,
Symposium on High Performance Chips,HOTCHIPS (HCS),C,,HOTCHIPS (HCS),,
"Symposium on Networked Systems, Design and Implementation",NSDI,National: USA,,NSDI,62.0,88.0
Symposium on Parallelism in Algorithms and Architectures,SPAA,B,,SPAA,22.0,34.0
Symposium on Reliable Distributed Systems,SRDS,B,,SRDS,18.0,28.0
"Symposium on Stabilization, Safety, and Security of Distributed Systems",SSS,C,,SSS,,
Symposium On Usable Privacy and Security,SOUPS,B,,SOUPS,38.0,58.0
"Tangible, Embedded, and Embodied Interaction",TEI,B,,TEI,27.0,41.0
Testbeds and Research Infrastructures for the Development of Networks and Communities,TridentCom,National: China,,TridentCom,,
The ACM International System and Storage Conference,SYSTOR,National:Israel,,SYSTOR,15.0,24.0
The International Conference on Future Networks and Communications,FNC,Unranked,,FNC,,
The International Conference on Intelligent Environments,IE,B,,IE,13.0,20.0
The International Conference on Verification and Evaluation of Computer and Communication Systems,VECoS,C,,VECoS,,
"The International Symposium on Research in Attacks, Intrusions and Defenses (was International Symposium on Recent Advances in Intrusion Detection)",RAID,A,,RAID,,
The Symposium of Combinatorial Search,SoCS,B,,SoCS,,
The Theory and Application of Diagrams,DIAGRAMS,C,,DIAGRAMS,,
Theoretical Aspects of Rationality and Knowledge,TARK,A,,TARK,,
Theory of Cryptography Conference,TCC,A,,TCC,31.0,53.0
Tools and Algorithms for Construction and Analysis of Systems,TACAS,A,,TACAS,35.0,58.0
Usable Security and Privacy,USEC,National: USA,,USEC,38.0,58.0
Usenix Annual Technical Conference,USENIX,A,,USENIX,55.0,102.0
Usenix Network and Distributed System Security Symposium,NDSS,A*,,NDSS,73.0,130.0
Usenix Security Symposium,USENIX-Security,A*,,USENIX-Security,106.0,154.0
Usenix Symposium on Operating Systems Design and Implementation,OSDI,A*,,OSDI,54.0,84.0
USENIX Workshop on Hot Topics in Operating Systems,HotOS,A,,HotOS,,
Utility and Cloud Computing,UCC,Unranked,,UCC,23.0,29.0
"Verification, Model Checking and Abstract Interpretation",VMCAI,B,,VMCAI,13.0,19.0
Visual Analytics,EuroVA,C,,EuroVA,,
Visual Information Communication and Interaction,VINCI,C,,VINCI,14.0,24.0
Visualization In Science and Education,GRC,National: USA,,GRC,,
Web and Big Data,APWEB,C,,APWEB,11.0,22.0
Winter Simulation Conference,WSC,C,,WSC,,
Workshop in Information Security Theory and Practices,WISTP,C,,WISTP,,
Workshop on Algorithm Engineering and Experiments,ALENEX,A,,ALENEX,,
"Workshop on Algorithmic Approaches for Transportation Modelling, Optimization, and Systems",ATMOS,C,,ATMOS,,
Workshop on Algorithms And Models For The Web Graph,WAW,C,,WAW,,
Workshop on Algorithms in Bioinformatics,WABI,C,,WABI,12.0,16.0
Workshop on Applications of Graph Theory in Wireless Ad hoc Networks and Sensor Networks,Graph-hoc,C,,Graph-hoc,,
Workshop on Approximation and Online Algorithms,WAOA,B,,WAOA,,
Workshop on Computational Optimization,WCO,C,,WCO,19.0,25.0
Workshop on Computer Architecture Education,WCAE,National: USA,,WCAE,,
Workshop on Constraint Satisfaction for Planning and Scheduling,COPLAS,C,,COPLAS,,
Workshop on Cryptographic Hardware and Embedded Systems,CHES,A,,CHES,53.0,86.0
Workshop on Domain Specific Modelling,DSM,C,,DSM,,
Workshop on Fault Diagnosis and Tolerance in Cryptography,FDTC,C,,FDTC,,
Workshop on Formal Techniques for Java-like Programs,FTfJP,C,,FTfJP,,
Workshop on Job Scheduling Strategies for Parallel Processing,JSSPP,C,,JSSPP,,
"Workshop on Logic, Language, Information and Computation",WoLLIC,C,,WoLLIC,12.0,14.0
Workshop on Mobile Computing Systems and Applications,HOTMOBILE,National: USA,,HOTMOBILE,21.0,32.0
Workshop on Programming Languages and Operating Systems,PLOS,C,,PLOS,71.0,122.0
Workshop on the Arithmetic of Finite Fields,WAIFI,C,,WAIFI,,
"World Conference on Educational Multimedia, Hypermedia and Telecommunications",ED-MEDIA,C,,ED-MEDIA,,
World Conference on Information Systems and Technologies,WorldCIST,C,,WorldCIST,25.0,33.0
"World Congress in Computer Science, Computer Engineering, and Applied Computing",WORLDCOMP,National: USA,,WORLDCOMP,,
"World Multi-Conference on Systemics, Cybernetics and Informatics",WMSCI,National: USA,,WMSCI,,
